Page total likes,Type,Post Month,Post Weekday,Post Hour,Paid,Lifetime Post Total Reach,Lifetime Post Total Impressions,Lifetime Engaged Users,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime People who have liked your Page and engaged with your post,comment,like,share,Total Interactions
139441,Photo,12,4,3,0,2752,5091,178,3078,1640,119,4,79,17,100
139441,Status,12,3,10,0,10460,19057,1457,11710,6112,1108,5,130,29,164
139441,Photo,12,3,3,0,2413,4373,177,2812,1503,132,0,66,14,80
139441,Photo,12,2,10,1,50128,87991,2211,61027,32048,1386,58,1572,147,1777
139441,Photo,12,2,3,0,7244,13594,671,6228,3200,396,19,325,49,393
139441,Status,12,1,9,0,10472,20849,1191,16034,7852,1016,1,152,33,186
139441,Photo,12,1,3,1,11692,19479,481,15432,9328,379,3,249,27,279
139441,Photo,12,7,9,1,13720,24137,537,19728,11056,422,0,325,14,339
139441,Status,12,7,3,0,11844,22538,1530,15220,7912,1250,0,161,31,192
139441,Photo,12,6,10,0,4694,8668,280,4309,2324,199,3,113,26,142
139441,Status,12,5,10,0,21744,42334,4258,37849,18952,3798,0,233,19,252
139441,Photo,12,5,10,0,3112,5590,208,3887,2174,165,0,88,18,106
139441,Photo,12,5,10,0,2847,5133,193,3779,2072,152,0,90,14,104
139441,Photo,12,5,3,0,2549,4896,249,3631,1917,183,5,137,10,152
138414,Photo,12,4,5,1,22784,39941,887,34415,19312,684,2,577,20,599
138414,Status,12,3,10,0,10060,19680,1264,17272,8548,1162,4,86,18,108
138414,Photo,12,3,3,0,1722,2981,163,1868,1050,123,2,40,12,54
138414,Photo,12,2,12,1,53264,111785,1706,92512,39776,1307,15,678,20,713
138414,Status,12,2,3,0,3930,7509,130,5009,2410,101,4,54,17,75
138414,Photo,12,1,11,0,1591,2825,121,2116,1161,100,0,34,8,42
138414,Photo,12,1,3,0,2848,5066,200,3561,1963,157,3,66,12,81
138414,Photo,12,7,10,0,1384,2467,15,2196,1172,15,0,0,0,0
138414,Link,12,7,10,0,3454,6853,118,6282,3100,106,0,16,2,18
138414,Photo,12,7,3,0,2723,4888,176,2964,1621,143,0,72,24,96
138414,Status,12,6,10,0,8488,15294,1341,9684,5244,995,3,99,19,121
138458,Status,12,6,3,0,8284,15104,1521,10266,5372,1200,0,88,18,106
138458,Status,12,5,11,0,19552,34143,2806,17748,9824,1779,10,412,72,494
138458,Photo,12,5,3,0,2478,4306,212,2612,1443,166,0,100,17,117
138895,Photo,12,5,3,0,9560,18264,973,9217,4748,621,36,523,63,622
138895,Video,12,4,11,1,36208,61262,1141,30131,14112,559,18,143,13,174
138895,Photo,12,4,2,0,4940,9390,385,5860,2930,273,33,107,22,162
138895,Photo,12,3,10,0,1683,2929,192,1585,858,131,1,27,11,39
138895,Photo,12,3,3,0,5280,9578,368,4480,2422,268,2,155,47,204
138895,Photo,12,2,9,0,3002,5318,268,3039,1676,194,4,98,23,125
138895,Photo,12,2,3,0,3766,7149,298,5782,2938,244,2,56,17,75
138895,Photo,12,1,11,0,4512,7808,423,5183,2954,316,6,172,21,199
138895,Photo,12,1,3,0,2690,4628,252,3052,1727,199,0,96,17,113
